id,tipe,model,pertanyaan,jawaban_benar,jawaban_sistem,rougeL,is_grounded,grounding_score_faithfulness
11,in_domain,groq,Jelaskan hukum bacaan lafaz قَرِيبًا pada ayat 40 An-Naba!,"Lafaz قَرِيبًا (qariibaa) pada ayat 40 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz قَرِيبًا pada ayat 40 Surah An-Naba adalah Mad Arid Lissukun. Lafaz ini termasuk dalam kategori Mad Far'i, dan hukumnya adalah dibaca panjang 2, 4, atau 6 harakat karena huruf mad di akhir ayat yang diwaqafkan.

Sumber: Kitab Hidayatus Sibyan (Konteks 5)",0.625,True,0.737
12,in_domain,groq,Bagaimana cara membaca lafaz غَسَّاقًا pada ayat ke-25?,"Lafaz غَسَّاقًا (ghassaaqaa) pada ayat 25 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz غَسَّاقًا pada ayat ke-25 dibaca dengan hukum Mad Arid Lissukun, yaitu huruf mad di akhir ayat yang diwaqafkan dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan (Konteks 2)",0.7761,True,0.856
13,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata مِهَادًا di ayat 6!,"Lafaz مِهَادًا (mihaadaa) pada ayat 6 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata مِهَادًا di ayat 6 adalah Mad Arid Lissukun. 
Penjelasan: Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.
Sumber: Kitab Hidayatus Sibyan",0.7077,True,0.757
14,in_domain,groq,Mengapa lafaz وِفَاقًا pada ayat 26 dibaca demikian? Jelaskan hukumnya!,"Lafaz وِفَاقًا (wifaaqaa) pada ayat 26 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz وِفَاقًا pada ayat 26 dibaca demikian karena hukum Mad Arid Lissukun. Hukum ini berlaku ketika huruf mad di akhir ayat yang diwaqafkan, maka dibaca panjang 2, 4, atau 6 harakat. Dalam konteks ini, lafaz وِفَاقًا diwaqafkan, sehingga huruf mad (alif) dibaca panjang sesuai dengan hukum Mad Arid Lissukun.

Sumber: Kitab Hidayatus Sibyan",0.6047,True,0.714
15,in_domain,groq,Apa hukum tajwid pada lafaz مِيقَاتًا di ayat 17 surah An-Naba?,"Lafaz مِيقَاتًا (miiqaataa) pada ayat 17 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz مِيقَاتًا di ayat 17 surah An-Naba adalah Mad Arid Lissukun, yaitu huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan (Konteks 3)",0.7714,True,0.727
16,in_domain,groq,Jelaskan hukum bacaan lafaz سَيَعْلَمُونَ pada ayat 5 An-Naba!,"Lafaz سَيَعْلَمُونَ (saya'lamuun) pada ayat 5 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Wawu mad di akhir ayat diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz سَيَعْلَمُونَ (saya'lamuun) pada ayat 5 An-Naba adalah Mad Arid Lissukun. Lafaz ini termasuk dalam kategori Mad Far'i, dan penjelasannya adalah wawu mad di akhir ayat diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.

Sumber: Kitab Hidayatus Sibyan",0.8312,True,0.759
17,in_domain,groq,Bagaimana cara membaca lafaz يَتَسَاءَلُونَ pada ayat ke-1?,"Lafaz يَتَسَاءَلُونَ (yatasaa'aluun) pada ayat 1 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf wawu mad di akhir ayat diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz يَتَسَاءَلُونَ pada ayat ke-1 memiliki dua hukum tajwid, yaitu Mad Wajib Muttashil dan Mad Arid Lissukun. 
Mad Wajib Muttashil berlaku karena huruf mad thabi'i bertemu hamzah dalam satu kata, sehingga dibaca panjang 4 atau 5 harakat. 
Sedangkan Mad Arid Lissukun berlaku karena huruf wawu mad di akhir ayat diwaqafkan, sehingga dibaca panjang 2, 4, atau 6 harakat.
Sumber: Kitab Hidayatus Sibyan.",0.5657,True,0.802
18,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata صَوَابًا di ayat 38!,"Lafaz صَوَابًا (shawaabaa) pada ayat 38 surah An-Naba' termasuk hukum Mad Arid Lissukun, kategori Mad Far'i. Huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata صَوَابًا di ayat 38 adalah Mad Arid Lissukun. 
Kategori hukum ini adalah Mad Far'i. 
Penjelasan dari hukum ini adalah huruf mad di akhir ayat yang diwaqafkan, dibaca panjang 2, 4, atau 6 harakat.
Sumber: Kitab Hidayatus Sibyan.",0.7105,False,0.637
19,in_domain,groq,Mengapa lafaz ٱلنَّهَارَ pada ayat 11 dibaca demikian? Jelaskan hukumnya!,"Lafaz ٱلنَّهَارَ (an-nahāra) pada ayat 11 surah An-Naba' termasuk hukum Alif Lam Syamsiyyah, kategori Alif Lam. Alif lam bertemu huruf nun (huruf syamsiyyah), lam dileburkan ke dalam huruf nun. (Sumber: Kitab Hidayatus Sibyan)","Lafaz ٱلنَّهَارَ pada ayat 11 dibaca demikian karena terdapat hukum Alif Lam Syamsiyyah. Alif lam bertemu huruf nun (huruf syamsiyyah), sehingga lam dileburkan ke dalam huruf nun. 
Sumber: Kitab Hidayatus Sibyan",0.7692,True,0.793
20,in_domain,groq,Apa hukum tajwid pada lafaz ٱلَّذِي di ayat 3 surah An-Naba?,"Lafaz ٱلَّذِي (alladzii) pada ayat 3 surah An-Naba' termasuk hukum Alif Lam Syamsiyyah, kategori Alif Lam. Alif lam bertemu huruf lam (huruf syamsiyyah), lam pertama dilebur ke lam berikutnya dan dibaca tasydid. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz ٱلَّذِي di ayat 3 surah An-Naba adalah Alif Lam Syamsiyyah. Ini karena Alif Lam bertemu huruf lam (huruf syamsiyyah), sehingga lam pertama dilebur ke lam berikutnya dan dibaca tasydid.

Sumber: Kitab Hidayatus Sibyan",0.7945,True,0.823
21,in_domain,groq,Jelaskan hukum bacaan lafaz ٱلصُّورِ pada ayat 18 An-Naba!,"Lafaz ٱلصُّورِ (aṣ-ṣūr) pada ayat 18 surah An-Naba' termasuk hukum Alif Lam Syamsiyyah, kategori Alif Lam. Alif lam bertemu huruf shad (huruf syamsiyyah), lam dileburkan ke dalam huruf shad. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz ٱلصُّورِ pada ayat 18 An-Naba adalah Alif Lam Syamsiyyah. Ini berarti bahwa Alif Lam bertemu huruf shad (huruf syamsiyyah), maka lam dileburkan ke dalam huruf shad.

Sumber: Kitab Hidayatus Sibyan",0.7761,True,0.804
22,in_domain,groq,Bagaimana cara membaca lafaz ٱلسَّمَاءِ pada ayat ke-19?,"Lafaz ٱلسَّمَاءِ (as-samā') pada ayat 19 surah An-Naba' termasuk hukum Alif Lam Syamsiyyah, kategori Alif Lam. Alif lam bertemu huruf sin (huruf syamsiyyah), lam dileburkan ke dalam huruf sin. (Sumber: Kitab Hidayatus Sibyan)","Cara membaca lafaz ٱلسَّمَاءِ pada ayat ke-19 adalah dengan menerapkan hukum Alif Lam Syamsiyyah, yaitu lam dileburkan ke dalam huruf sin (huruf syamsiyyah). 
Sumber: Kitab Hidayatus Sibyan",0.5902,True,0.789
23,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata ٱلْعَظِيمِ di ayat 2!,"Lafaz ٱلْعَظِيمِ (al-'azhiim) pada ayat 2 surah An-Naba' termasuk hukum Alif Lam Qamariyyah, kategori Alif Lam. Alif lam bertemu huruf ain (huruf qamariyyah), lam dibaca jelas/izhar tanpa dilebur. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata ٱلْعَظِيمِ di ayat 2 adalah Alif Lam Qamariyyah. 
Dalam hukum ini, Alif lam bertemu huruf ain (huruf qamariyyah), sehingga lam dibaca jelas/izhar tanpa dilebur.
Sumber: Kitab Hidayatus Sibyan",0.6667,True,0.874
24,in_domain,groq,Mengapa lafaz ٱلْفَصْلِ pada ayat 17 dibaca demikian? Jelaskan hukumnya!,"Lafaz ٱلْفَصْلِ (al-faṣli) pada ayat 17 surah An-Naba' termasuk hukum Alif Lam Qamariyyah, kategori Alif Lam. Alif lam bertemu fa (huruf qamariyyah), lam dibaca jelas. (Sumber: Kitab Hidayatus Sibyan)","Lafaz ٱلْفَصْلِ pada ayat 17 dibaca demikian karena hukum Alif Lam Qamariyyah. Menurut hukum ini, jika Alif Lam bertemu dengan huruf qamariyyah (dalam hal ini adalah fa), maka lam dibaca jelas. 

Sumber: Kitab Hidayatus Sibyan",0.6154,True,0.85
25,in_domain,groq,Apa hukum tajwid pada lafaz هُمْ فِيهِ di ayat 3 surah An-Naba?,"Lafaz هُمْ فِيهِ (hum fiih) pada ayat 3 surah An-Naba' termasuk hukum Izhar Syafawi, kategori Mim Sukun. Mim mati bertemu huruf fa — dibaca jelas karena mim mati bertemu selain ba/mim. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz هُمْ فِيهِ di ayat 3 surah An-Naba adalah Izhar Syafawi. Ini berarti bahwa mim mati (م) bertemu dengan huruf fa (ف) dan dibaca dengan jelas karena mim mati bertemu dengan selain ba atau mim.

Sumber: Kitab Hidayatus Sibyan",0.7123,True,0.794
26,in_domain,groq,Jelaskan hukum bacaan lafaz لَابِثِينَ pada ayat 23 An-Naba!,"Lafaz لَابِثِينَ (laabitsiin) pada ayat 23 surah An-Naba' termasuk hukum Mad Thabi'i, kategori Mad Asli. Alif setelah lam dan ya setelah tsa, masing-masing dibaca panjang 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz لَابِثِينَ (laabitsiin) pada ayat 23 An-Naba adalah Mad Thabi'i, yang termasuk dalam kategori Mad Asli. Penjelasannya adalah bahwa alif setelah lam dan ya setelah tsa, masing-masing dibaca panjang 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.8333,True,0.713
27,in_domain,groq,Bagaimana cara membaca lafaz أَبْوَابًا pada ayat ke-19?,"Lafaz أَبْوَابًا (abwaaban) pada ayat 19 surah An-Naba' termasuk hukum Qalqalah Sughro, kategori Qalqalah. Huruf ba sukun di tengah kata, dipantulkan dengan ringan. (Sumber: Kitab Hidayatus Sibyan)","Lafaz أَبْوَابًا pada ayat ke-19 dibaca dengan hukum Qalqalah Sughro, yaitu huruf ba sukun di tengah kata dipantulkan dengan ringan.

Sumber: Kitab Hidayatus Sibyan",0.7843,True,0.694
28,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata نَجْعَلِ di ayat 6!,"Lafaz نَجْعَلِ (naj alil) pada ayat 6 surah An-Naba' termasuk hukum Qalqalah Sughro, kategori Qalqalah. Salah satu huruf qalqalah (jim) berharakat sukun atau mati di tengah kata dan bukan karena waqaf. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata نَجْعَلِ di ayat 6 adalah Qalqalah Sughro. 
Penjelasan: Salah satu huruf qalqalah (jim) berharakat sukun atau mati di tengah kata dan bukan karena waqaf.
Sumber: Kitab Hidayatus Sibyan",0.7273,True,0.823
29,in_domain,groq,Mengapa lafaz إِنَّهُمْ كَانُوا۟ pada ayat 27 dibaca demikian? Jelaskan hukumnya!,"Lafaz إِنَّهُمْ كَانُوا۟ (innahum kaanuu) pada ayat 27 surah An-Naba' termasuk hukum Idzhar Syafawi, kategori Idzhar. Mim sukun bertemu dengan kaf. Mim disuarakan dengan terang dan jelas di bibir serta mulut tertutup tanpa dengung. (Sumber: Kitab Hidayatus Sibyan)","Lafaz إِنَّهُمْ كَانُوا۟ pada ayat 27 dibaca demikian karena terdapat hukum Idzhar Syafawi. Hukum ini berlaku ketika mim sukun bertemu dengan kaf, sehingga mim disuarakan dengan terang dan jelas di bibir serta mulut tertutup tanpa dengung.

Sumber: Kitab Hidayatus Sibyan",0.7733,True,0.724
30,in_domain,groq,Apa hukum tajwid pada lafaz كُمْ إِلَّا di ayat 30 surah An-Naba?,"Lafaz كُمْ إِلَّا (kum illaa) pada ayat 30 surah An-Naba' termasuk hukum Idzhar Syafawi, kategori Idzhar. Mim sukun bertemu dengan hamzah/alif. Mim disuarakan dengan terang dan jelas di bibir serta mulut tertutup tanpa dengung. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz كُمْ إِلَّا di ayat 30 surah An-Naba adalah Idzhar Syafawi. 
Sumber: Kitab Hidayatus Sibyan",0.4364,True,0.485
31,in_domain,groq,Jelaskan hukum bacaan lafaz كَأْسًا دِ pada ayat 34 An-Naba!,"Lafaz كَأْسًا دِ (ka'san di) pada ayat 34 surah An-Naba' termasuk hukum Ikhfa Haqiqi, kategori Nun Sukun dan Tanwin. Tanwin bertemu huruf dal, dibaca samar-samar dengan dengung. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz كَأْسًا دِ pada ayat 34 An-Naba adalah Ikhfa Haqiqi. Lafaz ini termasuk dalam kategori Nun Sukun dan Tanwin, di mana Tanwin bertemu huruf dal, sehingga dibaca samar-samar dengan dengung.

Sumber: Kitab Hidayatus Sibyan",0.7647,True,0.7
32,in_domain,groq,Bagaimana cara membaca lafaz سَبْعًۭا شِدَادًۭا pada ayat ke-12?,"Lafaz سَبْعًۭا شِدَادًۭا (sab'an syidaa daa) pada ayat 12 surah An-Naba' termasuk hukum Ikhfa Haqiqi, kategori Nun Sukun dan Tanwin. Tanwin (fathatain) bertemu huruf syin, dibaca samar-samar dengan dengung. (Sumber: Kitab Hidayatus Sibyan)","Lafaz سَبْعًۭا شِدَادًۭا pada ayat ke-12 membaca tanwin (fathatain) bertemu huruf syin, dibaca samar-samar dengan dengung, yang termasuk dalam kategori Nun Sukun dan Tanwin dengan hukum Ikhfa Haqiqi. 
Sumber: Kitab Hidayatus Sibyan",0.5455,True,0.875
33,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata مَآءً ثَ di ayat 14!,"Lafaz مَآءً ثَ (maa'an tsa) pada ayat 14 surah An-Naba' termasuk hukum Ikhfa Haqiqi, kategori Nun Sukun dan Tanwin. Tanwin bertemu huruf tsa, dibaca samar-samar dengan dengung. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata مَآءً ثَ (maa'an tsa) di ayat 14 adalah Ikhfa Haqiqi. Ini termasuk dalam kategori Nun Sukun dan Tanwin. Penjelasannya adalah tanwin bertemu huruf tsa, sehingga dibaca samar-samar dengan dengung.

Sumber: Kitab Hidayatus Sibyan",0.7246,True,0.682
34,in_domain,groq,Mengapa lafaz مَنْ شَاءَ pada ayat 39 dibaca demikian? Jelaskan hukumnya!,"Lafaz مَنْ شَاءَ (man syaa'a) pada ayat 39 surah An-Naba' termasuk hukum Ikhfa Haqiqi, kategori Nun Sukun dan Tanwin. Nun sukun bertemu huruf syin, dibaca samar-samar dengan dengung. (Sumber: Kitab Hidayatus Sibyan)","Lafaz مَنْ شَاءَ pada ayat 39 dibaca demikian karena terdapat hukum Ikhfa Haqiqi. Hukum ini berlaku ketika nun sukun bertemu dengan huruf syin, sehingga dibaca samar-samar dengan dengung. 
Sumber: Kitab Hidayatus Sibyan",0.6562,True,0.717
35,in_domain,groq,Apa hukum tajwid pada lafaz يُنفَخُ di ayat 18 surah An-Naba?,"Lafaz يُنفَخُ (yunfakhu) pada ayat 18 surah An-Naba' termasuk hukum Ikhfa Haqiqi, kategori Nun Sukun dan Tanwin. Nun sukun bertemu huruf fa, dibaca samar-samar dengan dengung. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz يُنفَخُ di ayat 18 surah An-Naba adalah Ikhfa Haqiqi, yaitu nun sukun bertemu huruf fa, dibaca samar-samar dengan dengung.
Sumber: Kitab Hidayatus Sibyan",0.7458,True,0.661
36,in_domain,groq,Jelaskan hukum bacaan lafaz لَن نَّزِيدَكُمْ pada ayat 30 An-Naba!,"Lafaz لَن نَّزِيدَكُمْ (lan nazidakum) pada ayat 30 surah An-Naba' termasuk hukum Idgham Bighunnah, kategori Nun Sukun dan Tanwin. Nun sukun bertemu huruf nun, dibaca lebur dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum bacaan lafaz لَن نَّزِيدَكُمْ pada ayat 30 An-Naba adalah Idgham Bighunnah. Ini berarti bahwa nun sukun bertemu dengan huruf nun, sehingga dibaca lebur dengan dengung selama 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.7077,True,0.733
37,in_domain,groq,Bagaimana cara membaca lafaz جَزَاءً وَ pada ayat ke-26?,"Lafaz جَزَاءً وَ (jazaa'an wa) pada ayat 26 surah An-Naba' termasuk hukum Idgham Bighunnah, kategori Nun Sukun dan Tanwin. Tanwin bertemu huruf wawu, dibaca lebur (masuk) dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Cara membaca lafaz جَزَاءً وَ (jazaa'an wa) pada ayat ke-26 adalah dengan menggunakan hukum Idgham Bighunnah, yaitu Tanwin bertemu huruf wawu, dibaca lebur (masuk) dengan dengung 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.7576,True,0.759
38,in_domain,groq,Sebutkan dan jelaskan hukum tajwid dari kata حَبًّا وَ di ayat 15!,"Lafaz حَبًّا وَ (habban wa) pada ayat 15 surah An-Naba' termasuk hukum Idgham Bighunnah, kategori Nun Sukun dan Tanwin. Tanwin bertemu huruf wawu, dibaca lebur (masuk) dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid dari kata حَبًّا وَ di ayat 15 adalah Idgham Bighunnah. Ini termasuk dalam kategori Nun Sukun dan Tanwin. Penjelasannya adalah tanwin bertemu huruf wawu, sehingga dibaca lebur (masuk) dengan dengung 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.6957,False,0.634
39,in_domain,groq,Mengapa lafaz لَغْوًا وَ pada ayat 35 dibaca demikian? Jelaskan hukumnya!,"Lafaz لَغْوًا وَ (laghwan wa) pada ayat 35 surah An-Naba' termasuk hukum Idgham Bighunnah, kategori Nun Sukun dan Tanwin. Tanwin pada 'laghwan' bertemu huruf wawu, dibaca lebur dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Lafaz لَغْوًا وَ (laghwan wa) pada ayat 35 dibaca demikian karena Tanwin pada 'laghwan' bertemu huruf wawu, sehingga dibaca lebur dengan dengung 2 harakat. Hukum ini disebut Idgham Bighunnah, yaitu ketika Nun Sukun atau Tanwin bertemu dengan huruf yang memiliki sifat dengung (ghunnah), maka bacaannya menjadi lebur dan memiliki dengung.

Sumber: Kitab Hidayatus Sibyan",0.5116,True,0.74
40,in_domain,groq,Apa hukum tajwid pada lafaz بَرْدًا وَ di ayat 24 surah An-Naba?,"Lafaz بَرْدًا وَ (bardan wa) pada ayat 24 surah An-Naba' termasuk hukum Idgham Bighunnah, kategori Nun Sukun dan Tanwin. Tanwin pada 'bardan' bertemu huruf wawu, dibaca lebur dengan dengung 2 harakat. (Sumber: Kitab Hidayatus Sibyan)","Hukum tajwid pada lafaz بَرْدًا وَ (bardan wa) di ayat 24 surah An-Naba adalah Idgham Bighunnah, yaitu tanwin pada 'bardan' bertemu huruf wawu, dibaca lebur dengan dengung 2 harakat.

Sumber: Kitab Hidayatus Sibyan",0.7879,True,0.683
